Participant,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std,TrainTrial
3,22.85250231,1,54.15618944,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,18
3,71.36055909,2,33.85279367,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,0,1,1,0,19
3,25.21698136,3,93.36992243,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,20
3,64.69515144,10,17.37459259,0,0,1,0,1,0,1,1,0,0,2,1,1,2,2,0,1,1,0,21
3,82.43291525,6,23.45465694,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,0,1,1,0,22
3,7.627483539,7,82.91354261,0,0,0,1,1,0,0,0,1,0,2,1,1,2,2,0,0,0,0,23
3,94.03332117,9,28.15186988,0,0,1,0,0,0,1,0,0,1,2,1,1,2,2,0,1,1,0,24
3,32.60128235,8,62.86824478,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,0,1,1,0,25
3,21.70358833,14,94.75121547,0,1,1,1,0,0,1,0,0,0,3,1,1,2,2,0,0,0,0,26
3,85.72269279,12,4.168220491,0,0,0,0,0,1,1,0,0,1,3,1,1,2,2,0,1,1,0,27
3,47.87817734,13,62.38552933,0,1,0,0,0,0,0,1,1,1,3,1,1,2,2,0,0,0,0,28
3,45.83132407,11,56.99807422,1,1,1,0,1,0,0,1,1,1,3,1,1,1,1,0,1,1,0,29
3,43.09718334,15,67.7446616,0,1,1,0,1,0,0,1,1,0,3,1,1,1,1,0,1,1,0,30
3,87.39698246,5,7.280613839,0,0,1,0,1,0,0,0,0,1,1,3,1,1,1,0,0,0,0,31
3,99.57248405,1,4.746335739,0,0,1,0,0,1,0,1,1,1,1,3,1,2,2,0,1,1,0,32
3,46.35867525,4,82.33195332,1,1,0,1,0,0,0,0,0,0,1,3,1,1,1,0,1,1,0,33
3,8.158452162,3,75.49090581,1,0,0,1,0,0,0,0,0,1,1,3,1,1,1,0,1,1,0,34
3,97.59792844,2,22.46707083,0,0,0,0,0,0,1,1,1,1,1,3,1,2,2,0,1,1,0,35
3,12.60352786,10,74.8292457,0,0,1,0,0,0,0,0,0,0,2,3,1,1,1,0,1,1,0,36
3,19.96611028,6,54.74243172,1,0,1,1,0,0,0,0,1,0,2,3,1,1,1,0,1,1,0,37
3,93.4357086,7,13.2445702,0,1,0,0,0,1,1,0,1,1,2,3,1,2,2,0,1,1,0,38
3,60.59065975,9,32.28342434,0,0,1,1,1,1,1,0,1,0,2,3,1,2,2,0,1,1,0,39
3,66.855591,8,48.20876822,0,1,0,0,0,0,0,1,1,1,2,3,1,1,1,0,0,0,0,40
3,92.09788271,15,7.64748573,0,0,0,1,1,1,1,1,0,0,3,3,1,2,2,0,1,1,0,41
3,23.29857382,12,83.87165709,1,1,1,0,0,0,0,1,0,1,3,3,1,1,1,0,1,1,0,42
3,87.53092688,13,3.142726627,0,0,1,1,0,1,0,0,0,0,3,3,1,1,1,0,0,0,0,43
3,87.58448291,11,45.87695377,0,0,0,0,0,1,0,1,1,1,3,3,1,2,2,0,1,1,0,44
3,93.79567535,14,46.8313429,0,0,0,0,0,1,0,1,0,0,3,3,1,2,2,0,1,1,0,45
